x,y
0.0,10.6
0.25,13.3
0.5,15.9
0.75,19.2
1.0,25.4
1.25,32.0
1.5,40.0
1.75,50.7
2.0,67.1
2.25,84.6
2.5,108.0
2.75,137.0
3.0,168.0
3.25,204.0
3.5,265.0
3.75,318.0
4.0,391.0
4.125,423.0
4.25,494.0
4.375,566.0
4.5,591.0
4.625,536.0
4.75,522.0
4.875,545.0
5.0,564.0
5.125,585.0
5.25,646.0
5.375,736.0
5.5,899.0
5.625,938.0
5.75,833.0
5.875,684.0
6.0,543.0
6.125,463.0
6.25,450.0
6.375,437.0
6.5,414.0
6.75,437.0
7.0,381.0
7.25,290.0
7.5,224.0
7.75,183.0
8.0,148.0
8.25,115.0
8.5,89.5
8.75,71.5
9.0,55.3
9.25,45.6
9.5,34.1
9.75,29.7
10.0,22.1
10.25,16.8
